year,monthly average,de-season alized,days,st. dev of days
1983,342.78,342.25,24,0.37
1983,343.37,341.85,27,0.88
1983,345.4,342.76,23,0.29
1983,346.14,342.97,28,0.51
1983,345.76,343.3,20,0.3
1983,344.32,343.56,22,0.57
1983,342.51,343.89,16,0.73
1983,340.46,343.59,15,0.5
1983,340.53,343.86,20,0.31
1983,341.79,343.92,27,0.33
1983,343.2,344.12,21,0.25
1984,344.21,344.32,23,0.4
1984,344.92,344.39,23,0.32
1984,345.68,344.26,19,0.3
1984,347.37,344.75,2,-9.99
1984,347.78,344.59,20,0.42
1984,347.16,344.73,20,0.31
1984,345.79,345.02,18,0.33
1984,343.74,345.12,12,0.45
1984,341.59,344.76,14,0.72
1984,341.86,345.19,12,0.36
1984,343.31,345.41,18,0.41
1984,345,345.88,14,0.53
1985,345.48,345.59,25,0.38
1985,346.41,345.92,15,0.37
1985,347.91,346.56,17,0.34
1985,348.66,346.08,21,0.61
1985,349.28,346.12,20,0.51
1985,348.65,346.23,21,0.34
1985,346.9,346.08,17,0.36
1985,345.26,346.57,16,0.57
1985,343.47,346.59,24,0.57
1985,343.35,346.6,20,0.29
1985,344.73,346.82,21,0.4
1985,346.12,347.04,26,0.62
1986,346.78,346.82,25,0.31
1986,347.48,346.98,25,0.45
1986,348.25,346.93,16,0.7
1986,349.86,347.29,19,0.38
1986,350.52,347.42,18,0.31
1986,349.98,347.61,17,0.25
1986,348.25,347.43,20,0.47
1986,346.17,347.51,18,0.48
1986,345.48,348.61,17,0.63
1986,344.82,348.04,25,0.32
1986,346.22,348.28,21,0.3
1986,347.48,348.36,24,0.35
1987,348.73,348.66,25,0.46
1987,348.92,348.24,25,0.58
1987,349.81,348.39,21,0.35
1987,351.4,348.84,26,0.68
1987,352.15,349.09,28,0.37
1987,351.58,349.29,22,0.21
1987,350.21,349.51,17,0.73
1987,348.2,349.65,15,0.85
1987,346.66,349.85,23,0.61
1987,346.72,349.96,22,0.41
1987,348.08,350.15,23,0.33
1987,349.28,350.14,27,0.2
1988,350.51,350.49,24,0.21
1988,351.7,350.99,23,0.57
1988,352.5,350.99,25,0.78
